sampling_points_per_second,sampling,track_number,maximum_time,minimum_time_domain,median_time_domain,time_domain_average,time_domain_differential_peak,time_domain_average_rectifier,time_domain_variance,time_domain_standard_deviation,time_domain_kurtosis,time_domain_of_skewness,time_domain_root_mean_square,time_domain_RMS_factor,the_time_domain_peak_factor,time_domain_pulse_factor,time_domain_margin_factor,maximum_amplitude,minimum_amplitude,median_amplitude,average_amplitude,peak_amplitude_difference,peak_amplitude_threshold,center_of_gravity_frequency,mean_square_frequency,root_mean_square_frequency,frequency_variance,frequency_standard_deviation,maximum_power,power_minimum_value,median_power,power_average,SNR,bandwidth,type
600,1732,2,0.886033444,-1.106184574,-0.09577045,1.73E-17,1.992218018,0.285913507,0.119175618,0.345208532,3.131671607,-0.569874129,0.345108861,1.207022441,5.773046767,6.968002414,3.776350509,0.15811811,6.67E-18,0.004471397,0.005301009,0.15811811,0.118588583,301.894834,118928.7745,344.8605145,27788.28368,166.6981814,2.89E-05,5.13E-38,2.31E-08,7.82E-08,-1.29106693,291.4095414,2
600,1732,2,0.860651584,-1.13538113,-0.092114834,7.52E-17,1.996032715,0.331959537,0.203476207,0.451081274,3.802922866,-0.575896289,0.450951035,1.358479026,4.426288866,6.013042207,10.92892904,0.082049323,2.00E-17,0.006907877,0.008373322,0.082049323,0.061536992,293.4185697,115355.5066,339.6402606,29261.04961,171.0586145,7.77E-06,4.62E-37,5.51E-08,1.36E-07,-11.52048201,293.8696262,2
600,1732,2,0.88040799,-1.096200287,-0.093835174,1.78E-16,1.976608276,0.282994159,0.115453878,0.339762974,2.946000266,-0.507767367,0.339664876,1.200235546,5.819524991,6.984761976,4.331674451,0.162056322,5.13E-18,0.004567995,0.005223554,0.162056322,0.121542241,300.2286602,117908.3682,343.3778795,27771.11976,166.6466914,3.03E-05,3.04E-38,2.41E-08,7.87E-08,-0.956865971,291.3574005,2
600,1732,2,0.879396839,-1.097455578,-0.094663219,-3.25E-17,1.976852417,0.284478116,0.118347213,0.343927808,3.144447029,-0.567856071,0.343828508,1.208498597,5.752459567,6.950780171,5.255272488,0.158966752,9.74E-18,0.004510636,0.005097673,0.158966752,0.119225064,298.1112211,116906.9355,341.9165622,28036.63534,167.4414385,2.92E-05,1.10E-37,2.35E-08,7.52E-08,-0.907887413,293.9206389,2
600,1732,2,0.888382425,-1.091994772,-0.091369162,-7.48E-17,1.980377197,0.283871525,0.117775331,0.343183974,3.106574924,-0.56102534,0.343084888,1.208600334,5.772260814,6.976340983,4.709853566,0.163253041,0,0.00441299,0.005180837,0.163253041,0.122439781,300.4923146,117942.829,343.4280551,27647.19786,166.2744655,3.08E-05,0,2.25E-08,7.85E-08,-0.828044215,292.3647419,2
600,1732,2,0.88198694,-1.102449096,-0.085694945,-7.91E-17,1.984436035,0.28089386,0.113068789,0.336233915,2.983356166,-0.501888197,0.336136836,1.196628393,5.904463969,7.065041616,6.760345296,0.161517963,4.10E-18,0.004710944,0.005225352,0.161517963,0.121138472,301.4976755,119277.481,345.3657206,28376.63263,168.4536513,3.01E-05,1.94E-38,2.56E-08,7.71E-08,-0.846762987,293.4619785,2
600,1732,2,0.885581997,-1.09883878,-0.088668797,1.46E-16,1.984420776,0.283678256,0.117697191,0.343055347,3.126034471,-0.572851551,0.342956298,1.208948924,5.786510331,6.995543232,99.05236668,0.158465175,1.91E-17,0.004770219,0.00526278,0.158465175,0.118848881,301.3389293,118537.2429,344.2923799,27732.09257,166.5295546,2.90E-05,4.21E-37,2.63E-08,7.70E-08,-1.134398432,292.4378147,2
600,1732,2,0.886814655,-1.089656292,-0.094867169,7.97E-17,1.976470947,0.283216122,0.118043792,0.3435657,3.165959944,-0.502636966,0.343466504,1.212737025,5.75462081,6.978843311,5.590085065,0.157183521,1.33E-17,0.004730249,0.00542834,0.157183521,0.117887641,298.7952407,117549.0635,342.8542891,28270.4677,168.1382399,2.85E-05,2.05E-37,2.58E-08,7.98E-08,-1.528784922,291.5496839,2
600,1732,2,0.895277415,-1.089234914,-0.09079131,1.95E-16,1.984512329,0.278256021,0.112849098,0.335928267,3.106874594,-0.571571055,0.335831276,1.206914575,5.909400738,7.131966171,4.781602806,0.158676428,8.20E-18,0.004379883,0.005012571,0.158676428,0.119007321,302.3677589,119522.877,345.7208079,28096.61536,167.6204503,2.91E-05,7.77E-38,2.22E-08,7.46E-08,-0.871931856,294.3914624,2
600,1732,2,0.885874275,-1.106618401,-0.099080559,-1.17E-16,1.992492676,0.196987464,0.074630734,0.27309274,6.413044778,-0.602762004,0.273013891,1.385830631,7.30311316,10.1199067,14.84083063,0.073731558,6.41E-18,0.00437288,0.004962169,0.073731558,0.055298669,306.0512522,123842.8926,351.913189,30175.52362,173.7110348,6.28E-06,4.74E-38,2.21E-08,4.71E-08,-7.404527978,296.9046763,2
